filename,width,height,class,xmin,ymin,xmax,ymax
img_3.jpg,1004,752,cell,903,468,936,501
img_3.jpg,1004,752,cell,864,580,885,603
img_3.jpg,1004,752,cell,972,581,1002,606
img_3.jpg,1004,752,cell,856,508,882,535
img_3.jpg,1004,752,cell,949,540,981,563
img_3.jpg,1004,752,cell,874,193,902,214
img_3.jpg,1004,752,cell,854,101,879,129
img_3.jpg,1004,752,cell,961,163,992,183
img_3.jpg,1004,752,cell,979,96,1002,116
img_3.jpg,1004,752,cell,923,34,964,53
img_3.jpg,1004,752,cell,897,70,922,93
img_3.jpg,1004,752,cell,897,111,920,145
img_3.jpg,1004,752,cell,738,532,762,562
img_3.jpg,1004,752,cell,807,563,835,598
img_3.jpg,1004,752,cell,571,89,600,116
img_3.jpg,1004,752,cell,515,42,546,67
img_6.jpg,1004,752,cell,153,89,184,114
img_6.jpg,1004,752,cell,35,135,64,160
img_6.jpg,1004,752,cell,49,186,69,211
img_6.jpg,1004,752,cell,174,270,194,303
img_6.jpg,1004,752,cell,66,265,90,289
img_6.jpg,1004,752,cell,84,345,117,378
img_6.jpg,1004,752,cell,18,306,59,347
img_6.jpg,1004,752,cell,254,62,269,76
img_6.jpg,1004,752,cell,303,40,333,65
img_6.jpg,1004,752,cell,299,83,338,99
img_6.jpg,1004,752,cell,289,152,328,193
img_6.jpg,1004,752,cell,230,301,258,330
img_6.jpg,1004,752,cell,266,353,294,383
img_6.jpg,1004,752,cell,348,326,379,352
img_6.jpg,1004,752,cell,320,257,354,293
img_6.jpg,1004,752,cell,317,312,336,340
img_6.jpg,1004,752,cell,405,258,431,278
img_6.jpg,1004,752,cell,376,196,402,227
img_6.jpg,1004,752,cell,399,162,423,186
img_6.jpg,1004,752,cell,394,85,415,112
img_6.jpg,1004,752,cell,507,181,538,206
img_6.jpg,1004,752,cell,440,196,464,226
img_6.jpg,1004,752,cell,523,273,541,298
img_6.jpg,1004,752,cell,446,291,499,326
img_6.jpg,1004,752,cell,538,53,564,78
img_6.jpg,1004,752,cell,603,303,646,329
img_6.jpg,1004,752,cell,679,335,703,355
img_6.jpg,1004,752,cell,759,322,782,340
img_6.jpg,1004,752,cell,666,216,687,235
img_6.jpg,1004,752,cell,733,244,761,268
img_6.jpg,1004,752,cell,818,127,844,157
img_6.jpg,1004,752,cell,649,96,672,119
img_6.jpg,1004,752,cell,813,327,838,355
img_6.jpg,1004,752,cell,822,175,869,214
img_6.jpg,1004,752,cell,694,114,723,137
img_6.jpg,1004,752,cell,600,32,628,50
img_6.jpg,1004,752,cell,733,67,756,93
img_6.jpg,1004,752,cell,772,3,802,35
img_6.jpg,1004,752,cell,820,96,844,111
img_6.jpg,1004,752,cell,703,198,731,229
img_6.jpg,1004,752,cell,959,39,976,65
img_6.jpg,1004,752,cell,962,322,992,355
img_6.jpg,1004,752,cell,941,278,984,312
img_6.jpg,1004,752,cell,964,139,1004,177
img_6.jpg,1004,752,cell,277,416,310,448
img_6.jpg,1004,752,cell,400,414,426,439
img_6.jpg,1004,752,cell,522,389,553,412
img_6.jpg,1004,752,cell,420,448,458,475
img_6.jpg,1004,752,cell,331,432,358,470
img_6.jpg,1004,752,cell,436,489,487,516
img_6.jpg,1004,752,cell,361,489,422,532
img_6.jpg,1004,752,cell,484,527,559,558
img_6.jpg,1004,752,cell,376,537,418,565
img_6.jpg,1004,752,cell,318,511,341,540
img_6.jpg,1004,752,cell,271,573,300,596
img_6.jpg,1004,752,cell,313,576,341,611
img_6.jpg,1004,752,cell,358,596,387,614
img_6.jpg,1004,752,cell,374,626,412,648
img_6.jpg,1004,752,cell,340,637,372,660
img_6.jpg,1004,752,cell,533,567,561,589
img_6.jpg,1004,752,cell,256,650,284,675
img_6.jpg,1004,752,cell,225,648,248,673
img_6.jpg,1004,752,cell,246,685,271,708
img_6.jpg,1004,752,cell,249,722,285,739
img_6.jpg,1004,752,cell,402,653,446,676
img_6.jpg,1004,752,cell,182,424,210,439
img_6.jpg,1004,752,cell,220,422,243,445
img_6.jpg,1004,752,cell,185,444,215,468
img_6.jpg,1004,752,cell,140,545,167,576
img_6.jpg,1004,752,cell,112,452,135,480
img_6.jpg,1004,752,cell,18,435,53,475
img_6.jpg,1004,752,cell,15,588,49,612
img_6.jpg,1004,752,cell,135,596,161,619
img_6.jpg,1004,752,cell,135,652,159,683
img_6.jpg,1004,752,cell,135,693,179,734
img_6.jpg,1004,752,cell,667,447,692,478
img_6.jpg,1004,752,cell,697,422,718,455
img_6.jpg,1004,752,cell,640,530,664,555
img_6.jpg,1004,752,cell,826,473,862,501
img_6.jpg,1004,752,cell,838,558,885,588
img_6.jpg,1004,752,cell,794,585,833,619
img_6.jpg,1004,752,cell,777,635,807,668
img_6.jpg,1004,752,cell,708,680,743,722
img_6.jpg,1004,752,cell,626,678,666,703
img_6.jpg,1004,752,cell,631,645,666,673
img_6.jpg,1004,752,cell,597,596,630,617
img_6.jpg,1004,752,cell,743,516,812,537
img_6.jpg,1004,752,cell,713,562,759,588
img_6.jpg,1004,752,cell,940,427,966,450
img_6.jpg,1004,752,cell,954,583,997,611
img_6.jpg,1004,752,cell,761,699,782,727
img_9.jpg,1004,752,cell,143,408,174,439
img_9.jpg,1004,752,cell,258,398,310,430
img_9.jpg,1004,752,cell,59,480,89,506
img_9.jpg,1004,752,cell,148,508,177,540
img_9.jpg,1004,752,cell,64,526,97,552
img_9.jpg,1004,752,cell,10,585,59,616
img_9.jpg,1004,752,cell,166,571,212,594
img_9.jpg,1004,752,cell,72,689,105,716
img_9.jpg,1004,752,cell,241,524,271,550
img_9.jpg,1004,752,cell,267,553,300,581
img_9.jpg,1004,752,cell,340,548,371,571
img_9.jpg,1004,752,cell,353,573,385,617
img_9.jpg,1004,752,cell,289,626,336,660
img_9.jpg,1004,752,cell,348,647,390,678
img_9.jpg,1004,752,cell,436,644,471,676
img_9.jpg,1004,752,cell,297,703,359,740
img_9.jpg,1004,752,cell,85,603,141,629
img_9.jpg,1004,752,cell,122,335,174,360
img_9.jpg,1004,752,cell,97,217,141,258
img_9.jpg,1004,752,cell,295,326,318,347
img_9.jpg,1004,752,cell,10,308,58,339
img_9.jpg,1004,752,cell,472,716,522,744
img_9.jpg,1004,752,cell,417,524,456,571
